RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,Tag #,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,1307,SUCCESSFULLY RECOVERED,6/16/17,11/22/21,4.438356164,O. faveolata,5x2x1,16.4797,31.6937,11.86518288,1.388912431,1.36991724,33.546,28.6574,8.928228378,1.44755957,2.611810684,0.588463518,0.325143818,0.073257712,0.940120697,0.211817318,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,1308,SUCCESSFULLY RECOVERED,6/16/17,11/22/21,4.438356164,O. faveolata,5x2x1,14.8942,30.1949,11.26841068,1.321765813,1.314364208,31.7748,30.44,11.03434181,1.41859371,0.116163254,0.026172585,0.117905616,0.026565154,0.260727882,0.058744245,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,1309,SUCCESSFULLY RECOVERED,6/16/17,11/22/21,4.438356164,O. faveolata,5x2x1,13.9787,29.0829,10.86835384,1.286183741,1.276784376,38.4064,33.6442,9.497654915,1.39977519,0.460455895,0.103744692,0.91024303,0.205085621,0.539299965,0.121508943,
PR,south,Jobos Bay,17.91047,-66.23161,19.8,PR_south_15b,BMU,NCRMP,1310,SUCCESSFULLY RECOVERED,6/16/17,11/22/21,4.438356164,O. faveolata,5x2x1,21.3285,36.4824,12.98166847,1.642970628,1.63744352,37.8314,34.8481,10.91584396,1.64018095,1.595935822,0.359578133,0.469888688,0.105869982,1.389710426,0.313113769,
PR,north,Arecibo,18.48227,-66.72124,19.9,PR_north_15,BMU,NCRMP,1311,Not Recovered,6/17/17,not recovered,NA,O. faveolata,5x2x1,10.3318,25.5054,9.885755539,1.045119916,1.03951636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PR,north,Arecibo,18.48227,-66.72124,19.9,PR_north_15,BMU,NCRMP,1312,SUCCESSFULLY RECOVERED,6/17/17,5/20/22,4.926027397,O. faveolata,5x2x1,9.3714,24.8259,9.446285248,0.992072519,0.983540944,27.1771,23.5882,6.017469406,1.265400359,0.074355125,0.015094339,3.354460717,0.680966719,1.398962975,0.283994152,
PR,north,Arecibo,18.48227,-66.72124,19.9,PR_north_15,BMU,NCRMP,1313,SUCCESSFULLY RECOVERED,6/17/17,5/20/22,4.926027397,O. faveolata,5x2x1,9.7668,25.2374,9.641841888,1.012959984,1.00353164,41.6391,26.195,7.755000114,1.146065269,0.564019203,0.11449778,1.322822571,0.268537396,2.407756805,0.488782666,
PR,north,Arecibo,18.48227,-66.72124,19.9,PR_north_15,BMU,NCRMP,1314,SUCCESSFULLY RECOVERED,6/17/17,5/20/22,4.926027397,O. faveolata,5x2x1,17.6722,33.2186,11.37276363,1.553905504,1.5452012,37.8651,34.7347,10.34241772,1.63738983,0.916354179,0.186022956,0.113991731,0.023140702,2.306004524,0.468126614,
PR,north,Arecibo,18.48227,-66.72124,19.9,PR_north_15,BMU,NCRMP,1315,SUCCESSFULLY RECOVERED,6/17/17,5/20/22,4.926027397,O. faveolata,5x2x1,13.965,29.0164,11.1169796,1.256186527,1.24504204,31.0997,24.4489,6.104261398,1.35825825,0.29045105,0.058962532,4.722267152,0.95863599,1.254501343,0.254667959,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,1316,SUCCESSFULLY RECOVERED,6/18/17,10/8/21,4.309589041,O. faveolata,5x2x1,15.412,30.8248,11.58983803,1.329785624,1.317313424,29.3292,27.5367,7.950779915,1.47898305,0.172270775,0.039973829,3.46678734,0.804435715,0.32183075,0.074677828,
